Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Chang, H; Hu, HK; Li, WY; Kang, GH; Sergeyev, VG; Liu, W; Jin, YC",,,,"Chang, Hui; Hu, Hongkai; Li, Weiya; Kang, Guohong; Sergeyev, Vladimir G.; Liu, Wei; Jin, Yongcheng",,,Synergistic anion receptor-polymer regulate electrolyte solvation structure for high-rate solid-state lithium metal batteries,CHEMICAL ENGINEERING JOURNAL,,,,,,,,,,,,"The advancement of solid-state lithium metal batteries (SSLMBs) with high rate capability possess challenges due to the relatively slow kinetics of ion transport properties and the lack of compatibility between the phases derived from solid-state electrolytes. Here, the tris(pentafluorophenyl) boron (TPFPB) is incorporated as an highly effective additive into a poly(ionic liquid)-based solid-state composite polymer electrolyte (CPE) to realize SSLMBs with enhanced high rate performance. The theoretical calculation and experimental analysis demonstrated that the TPFPB serves as an anion receptor agent and a modifier of the electrode/electrolyte interphase. In a notable advancement, the ionic conductivity, lithium transport kinetics, and electrochemical stability of CPE have been significantly enhanced. Additionally, TPFPB has demonstrated an impressive capacity to suppress undesirable side reactions with both the cathode and lithium anode. The presence of Li2O, Li2CO3 and an adequate amount of LiF derived from TPFPB in the interphase between the CPE and Li metal anode results in enhanced high-rate performance. The reasonable design enables the achievement of a considerable ion conductivity of 5.28 x 10-4 S cm- 1 (25 degrees C) and a lithium-ion transference number of 0.48 for CPE. The solid-state LiFePO4/CPE/Li batteries delivers excellent rate performance and cycle stability, with a high discharge specific capacity of 94.4 mAh g- 1 at 10 C (1 mA cm- 2) and a remarkable capacity retention of 76.5 % after 700 cycles at 8 C. Moreover, the TPFPB functionalized CPE is capable of operating in conjunction with the high-voltage LiNi0.85Co0.15Al0.05O2 cathode. The excellent performance of the as-prepared SSLMBs at a wide temperature range of -15 degrees C and 60 degrees C also verified that the effectiveness of TPFPB as additives into solid-state electrolytes.",,,,,"Sergeyev, Vladimir/HSB-6488-2023","Jin, Yongcheng/0000-0002-9429-4489",,,,,,,,,,,,,1385-8947,1873-3212,,,,JAN 1,2025,503,,,,,,,,158397,10.1016/j.cej.2024.158397,http://dx.doi.org/10.1016/j.cej.2024.158397,,DEC 2024,,,,,,,,,,,WOS:001389704000001,View Full Record in Web of Science
J,"Poornima, BH; Vijayakumar, T",,,,"Poornima, B. H.; Vijayakumar, T.",,,"N, S co-doped and boron doped Artocarpus heterophyllus wood derived activated carbon for supercapacitor application",ELECTROCHIMICA ACTA,,,,,,,,,,,,"N,S co-doped porous carbons show appreciable prospects for various application in energy storage devices like Li-ion batteries and ultracapacitors due to its excellent surface wettability large electrical conductivity, better surface area, cost effectiveness and enormous pseudocapacitance. Nevertheless, several synthesis procedures required the tedious, hard/soft templates assisted multiple-step method and with the assistance of or the massive use of chemical reagents, and exogenic sources of nitrogen, that make them very difficult to realize the production and application of industries. In this work, a prospective hierarchical N,S co-doped porous carbons synthesized by a sustainable method through one step carbonization and subsequent activation process by utilizing renewable Artocarpus heterophyllus wood as the primary source material with no templates and additional nitrogen source. The prepared Artocarpus heterophyllus wood derived porous carbons possess a huge specific surface area of 1094 m2 g-1 hierarchically ordered porous framework, uniform and nitrogen rich incorporation (6.9 at%). Utilizing these advanced features, a novel Artocarpus heterophyllus wood derived porous carbon-based electrode material exhibited a high specific capacitance of 1097 Fg-1 in 6 M KOH electrolyte with excellent cyclic stability. Hence, a prospective electrode material for supercapacitor applications was successfully developed by a simple synthesis route with naturally available renewable resource Artocarpus heterophyllus wood.",,,,,,,,,,,,,,,,,,,0013-4686,1873-3859,,,,FEB 1,2025,512,,,,,,,,145491,10.1016/j.electacta.2024.145491,http://dx.doi.org/10.1016/j.electacta.2024.145491,,DEC 2024,,,,,,,,,,,WOS:001389521500001,View Full Record in Web of Science
J,"Ziemke, CD; Nguyen, H; Amaya-Roncancio, S; Gahl, J; Xing, YC; Heitmann, TW; Wexler, C",,,,"Ziemke, Carson D.; Nguyen, Ha M.; Amaya-Roncancio, Sebastian; Gahl, John; Xing, Yangchuan; Heitmann, Thomas W.; Wexler, Carlos",,,Formation of lattice vacancies and their effects on lithium-ion transport in LiBO2 crystals: comparative ab initio studies,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,"The monoclinic (m-LBO) and tetragonal (t-LBO) polymorphs of the lithium metaborate (LiBO2) material have significant potential for technological applications such as solid electrolytes and electrode coatings of lithium-ion batteries. While comparative studies of electronic, ionic, and photonic properties in these polymorphs exist, the role of lattice vacancies in lithium-ion transport in these polymorphs remains unclear. In this study, we employed density functional theory (DFT) to investigate the formation of lattice vacancies and their impacts on the lattice structure, electronic properties, and the lithium-ion migration energy barrier (Em) in both m-LBO and t-LBO. Our DFT results reveal that boron and oxygen vacancies affect the lithium-ion transport in both the polymorphs, but in different ways. While oxygen vacancies lower Em in m-LBO, they increase it in t-LBO. In contrast, boron vacancies significantly reduce Em in both m-LBO and t-LBO, leading to a remarkably enhanced ionic conductivity in both the polymorphs. This enhancement in the ionic conductivity could be due to favorable alterations in the crystal and electronic structures caused by the presence of boron vacancies. This improvement suggests a potential strategy for improving the ionic conductivity of the LiBO2 material through boron vacancy generation. For example, boron vacancies might be created in the lattice structures of the LiBO2 material using controlled neutron irradiation.",,,,,,"Wexler, Carlos/0000-0002-7038-2628; Xing, Yangchuan/0000-0002-5985-3222",,,,,,,,,,,,,2050-7488,2050-7496,,,,JAN 21,2025,13,4,,,,,3146,3162,,10.1039/d4ta05713a,http://dx.doi.org/10.1039/d4ta05713a,,DEC 2024,,,,,,,,,,,WOS:001380283000001,View Full Record in Web of Science
J,"Zhu, QY; Liu, YF; Shepard, LB; Bhattacharya, D; Sinnott, SB; Reinhart, WF; Cooper, VR; Kumar, R",,,,"Zhu, Qinyu; Liu, Yifan; Shepard, Lauren B.; Bhattacharya, Debjyoti; Sinnott, Susan B.; Reinhart, Wesley F.; Cooper, Valentino R.; Kumar, Rajeev",,,Using Data-Science Approaches to Unravel Insights for Enhanced Transport of Lithium Ions in Single-Ion Conducting Polymer Electrolytes,CHEMISTRY OF MATERIALS,,,,,,,,,,,,"Solid polymer electrolytes have yet to achieve the desired ionic conductivity (>1 mS/cm) near room temperature required for many applications. This target implies the need to reduce the effective energy barriers for ion transport in polymer electrolytes to around 20 kJ/mol. In this work, we combine information extracted from existing experimental results with theoretical calculations to provide insights into ion transport in single-ion conductors (SICs) with a focus on lithium ion SICs. Through the analysis of temperature-dependent ionic conductivity data obtained from the literature, we evaluate different methods of extracting energy barriers for lithium transport. The traditional Arrhenius fit to the temperature-dependent ionic conductivity data indicates that the Meyer-Neldel rule holds for SICs. However, the values of the fitting parameters remain unphysical. Our modified approach based on recent work (Macromolecules 2023, 56, 15, 6051), which incorporates a fixed pre-exponential factor, reveals that the energy barriers exhibit temperature dependence over a wide range of temperatures. Using this approach, we identify anions leading to the energy barriers <30 kJ/mol, which include trifluoromethane sulfonimide (TFSI), fluoromethane sulfonimide (FSI), and boron-based organic anions. In our efforts to design the next generation of anions, which can exhibit the energy barriers <20 kJ/mol, we have performed density functional theory (DFT) based calculations to connect the chemical structures of boron-based anions via the binding energy of cation (lithium)-anion pairs with the experimentally derived effective energy barriers for ion hopping. Not only have we identified a correlation between the binding energy and the energy barriers, but we also propose a strategy to design new boron-based anions by using the correlation. This combined approach involving experiments and theoretical calculations is capable of facilitating the identification of promising new anions, which can exhibit ionic conductivity >1 mS/cm near room temperature, thereby expediting the development of novel superionic single-ion conducting polymer electrolytes.",,,,,"; Sinnott, Susan/P-8523-2014; Kumar, Rajeev/Q-2255-2015; Zhu, Qinyu/IXW-6591-2023; Reinhart, Wesley/AAZ-9060-2021; Cooper, Valentino/A-2070-2012; Bhattacharya, Debjyoti/AGS-7186-2022","bhattacharya, Debjyoti/0000-0003-3707-847X; Kumar, Rajeev/0000-0001-9494-3488; Cooper, Valentino/0000-0001-6714-4410; Zhu, Qinyu/0000-0002-2640-2214; Liu, Yifan/0000-0001-5102-0552;",,,,,,,,,,,,,0897-4756,1520-5002,,,,DEC 6,2024,36,24,,,,,11934,11946,,10.1021/acs.chemmater.4c02432,http://dx.doi.org/10.1021/acs.chemmater.4c02432,,DEC 2024,,,,,,39734790,,,,,WOS:001373324500001,View Full Record in Web of Science
J,"Huang, R; Li, RL; Li, SB; Yang, W; Bai, Y; Wang, ZH; Sun, KN",,,,"Huang, Rui; Li, Ruilong; Li, Shaobo; Yang, Wen; Bai, Yu; Wang, Zhenhua; Sun, Kening",,,In-situ constructing 3D nanocarbon conduction conformal network on silicon anodes for high-performance sulfide-based all-solid-state batteries,CHEMICAL ENGINEERING JOURNAL,,,,,,,,,,,,"Due to swelling effects, the development of silicon anodes for lithium-ion batteries has been largely hampered by structural and interfacial instability. To implement the growing demand for higher energy density all-solid-state batteries (ASSBs), further improving the stability of the silicon anode structure is the key to breaking through the bottleneck. Here, we synthesize a silicon electrode coated by the conductive nanocarbon layer via in situ electrochemical processes. A 3D fast Li+-electron conduction conformal network composed of nanocarbon and polyvinylidene fluoride (PVDF) is constructed during cycling, expanding the active area and reducing stress concentrations, which leads to reinforced electrode kinetics and mechanical stability. Advanced focused ion beam-scanning electron microscope (FIB-SEM) and high-resolution transmission electron microscope (HRTEM) reveal that harmful phenomena such as electrode cracks, interfacial detachment, and lattice distortion are extremely suppressed, thus significantly enhancing the long-term cycling stability of ASSBs. In particular, the ASSBs assembled with a nano-metric Li1.175Nb0.645Ti0.4O3 (LNTO) coated LiCoO2 (LCO) cathode and sulfide electrolytes offer superior long-cycle stability (0.8C for 450 cycles, 80.2%) and rate performance (2C for 1340 cycles, 73.1%).",,,,,"Wang, zhenhua/KFA-8731-2024; YANG, Wen/AAL-1000-2021; Sun, kening/LYO-6367-2024; Huang, Rui/IVU-9979-2023; Li, Shaobo/K-2673-2019","Wang, Zhenhua/0000-0003-3476-0924;",,,,,,,,,,,,,1385-8947,1873-3212,,,,JAN 1,2025,503,,,,,,,,158154,10.1016/j.cej.2024.158154,http://dx.doi.org/10.1016/j.cej.2024.158154,,DEC 2024,,,,,,,,,,,WOS:001374568700001,View Full Record in Web of Science
J,"Wang, JA; Keating, MJ; Asare, H; Biddinger, EJ; Messinger, RJ; West, WC; Jones, JP",,,,"Wang, Jonah; Keating, Michael J.; Asare, Harrison; Biddinger, Elizabeth J.; Messinger, Robert J.; West, William C.; Jones, John-Paul",,,A Fluorinated Ether Co-solvent Enables High Operating Temperature Li-ion Batteries,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,,,,,,,,,,,,"Li-ion batteries are commonly used as electrochemical energy storage systems due to their high energy density. However, few Li-ion batteries can reliably function at elevated temperatures, which is necessary for space and defense applications. In this study, Li-ion electrolytes were prepared and investigated for use at 100 degrees C. The previously developed baseline electrolyte, 1.0 M lithium hexafluorophosphate (LiPF6) in 1:1 ethylene carbonate (EC):ethyl-methyl carbonate (v/v) with 2 wt% vinylene carbonate (VC), was altered to observe the effects of the lithium salts lithium difluoro(oxalato)borate (LiDFOB) and lithium difluorophosphate (LiDFP), and the fluorinated co-solvent 1,1,2,2-tetrafluoroethyl-2,2,3,3-tetrafluoropropyl ether (TTE). The resulting formulations showed significantly improved capacity retention at 100 degrees C in multiple cell configurations. X-ray photoelectron spectroscopy characterization of the electrodes following cycling at high temperatures with the improved electrolyte revealed the cathode-electrolyte-interface to be boron-rich, while the graphite anodes were found to have little boron but were more fluorine rich compared to the baseline anodes. Raman spectroscopy determined notable changes in solvation structure upon addition of the TTE diluent. Overall, the use of various Li salts as well as the TTE co-solvent improved specific capacity retention at 100 degrees C in Li-ion cells.",,,,,"Biddinger, Elizabeth/L-8572-2019; Messinger, Robert/M-2471-2015","Asare, Harrison/0000-0002-7920-1192; West, William/0000-0001-6417-8930; Messinger, Robert/0000-0002-5537-3870; Jones, John-Paul/0000-0001-8654-2967",,,,,,,,,,,,,0013-4651,1945-7111,,,,DEC 3,2024,171,12,,,,,,,120517,10.1149/1945-7111/ad9b52,http://dx.doi.org/10.1149/1945-7111/ad9b52,,,,,,,,,,,,,WOS:001379268400001,View Full Record in Web of Science
J,"Wang, HJ; Lei, CJ; Liu, TT; Meng, RJ; Liang, X",,,,"Wang, Huijian; Lei, Chengjun; Liu, Tingting; Meng, Ruijin; Liang, Xiao",,,Shielding Fluoride Ion Basicity through Diurea Coordination for Nonaqueous Fluoride Shuttle Batteries,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,,,,,,,,,,,,"The strong basicity of fluoride ions leads to detrimental nucleophilic attack on organic components in the electrolytes, such as beta-hydrogen elimination reactions with organic cations and solvents, converting naked F- into corrosive and unstable bifluoride (HF2-) ions. These reactions significantly constrain the choice of suitable solvents and salts to develop electro(chemical) stable fluoride ion electrolytes. In this work, we replaced the triple water ligands typically present in industrial organic fluoride salts with dual 1,3-diphenylurea (DPU) coordination via hydrogen bonding interaction. This modification successfully suppressed the Lewis basicity of fluoride ions, providing long-term chemical stability (over 1000 hours) across a wide range of aprotic solvents, a broadened electrochemical stability window (-2.5-0.9 V vs. Ag+/Ag) and high ionic conductivity (1.7 mS cm-1) at room temperature. Additionally, the weaker hydrogen bonding in F--DPU coordination, compared to the conventional boron-based anion acceptor (AA) strategy that relies on intensive Lewis acid-base interactions, facilitates faster (de)fluorination kinetics at the electrode. The proposed room temperature fluoride ion batteries sustain improved electrochemical performance by pairing with the Pb-PbF2 anode and BiF3 or Ag cathode.",,,,,"Liang, Xiao/ABE-7626-2020",,,,,,,,,,,,,,,1521-3773,,,,FEB 3,2025,64,6,,,,,,,,10.1002/anie.202418371,http://dx.doi.org/10.1002/anie.202418371,,DEC 2024,,,,,,39574307,,,,,WOS:001368039800001,View Full Record in Web of Science
J,"Li, JR; Su, H; Liu, Y; Zhong, Y; Wang, XL; Tu, JP",,,,"Li, Jingru; Su, Han; Liu, Yu; Zhong, Yu; Wang, Xiuli; Tu, Jiangping",,,Li Alloys in All Solid-State Lithium Batteries: A Review of Fundamentals and Applications,ELECTROCHEMICAL ENERGY REVIEWS,,,,,,,,,,,,"All solid-state lithium batteries (ASSLBs) overcome the safety concerns associated with traditional lithium-ion batteries and ensure the safe utilization of high-energy-density electrodes, particularly Li metal anodes with ultrahigh specific capacities. However, the practical implementation of ASSLBs is limited by the instability of the interface between the anode and solid-state electrolyte (SSE). To mitigate this, considerable research has been dedicated to achieving enhanced stability at the anode/SSE interface. Among the current strategies for enhancing interface performance, the concept of Li-alloy materials is extensively used and well functionalized in various scenarios, including Li alloys as anodes, Li-alloy interlayers and Li alloys in the anode. Despite the notable achievements of Li-alloy materials in ASSLBs, the functionality, practicality and working mechanism of Li-alloys have not been fully elucidated. This review commences by providing an exhaustive and in-depth examination of the fundamental kinetics, thermodynamics, and mechanics, highlighting Li-alloy materials. Subsequently, through a systematic interconnection of material properties and their practical applications, we undertake a comprehensive analysis of the operative principles governing Li alloys. This analytical approach allows a thorough evaluation of the viability and utility of Li alloys within the context of ASSLBs. Finally, this review concludes by succinctly summarizing the future prospects and inherent potential of Li-alloy materials for further advancing the field of ASSLBs.",,,,,"Tu, Jiangping/LBH-4562-2024; Su, Han/CAG-9375-2022",,,,,,,,,,,,,,2520-8489,2520-8136,,,,DEC,2024,7,1,,,,,,,18,10.1007/s41918-024-00221-0,http://dx.doi.org/10.1007/s41918-024-00221-0,,,,,,,,,,,,,WOS:001228660300001,View Full Record in Web of Science
J,"Lu, ZW; Kang, JX; Qiu, PT; Chen, XN",,,,"Lu, Zhiwei; Kang, Jia-Xin; Qiu, Pengtao; Chen, Xuenian",,,Hydridoborate-Based Solid-State Electrolytes for Sodium Metal Batteries,BATTERIES & SUPERCAPS,,,,,,,,,,,,"Hydridoborates have emerged as promising candidates for solid-state electrolytes in sodium metal batteries owing to their high ionic conductivity, thermal/electrochemical stability, good mechanical properties, and good interface compatible with electrodes. This review provides a comprehensive analysis of the recent advancements in the development and application of Na-hydridoborate-based solid-state electrolytes. We explore the structural properties and electrochemical behaviors of various Na-hydridoborates, including NaBH4, NaB3H8, closo-borates, nido-borates, etc. Additionally, we discuss the approaches for the synthesis of hydridoborate compounds with inexpensive raw chemicals and low toxicity. This review will inspire further efforts to develop fast Na-ion conducting hydridoborate materials with favorable interfacial compatibility, to promote their applications in high-performance all-solid-state sodium metal batteries.",,,,,"; Qiu, Pengtao/ABB-5118-2021; Chen, Xuenian/C-4111-2018","Chen, Xuenian/0000-0001-9029-1777; Qiu, Pengtao/0000-0001-8982-0803;",,,,,,,,,,,,,,2566-6223,,,,MAY,2025,8,5,,,,,,,,10.1002/batt.202400636,http://dx.doi.org/10.1002/batt.202400636,,DEC 2024,,,,,,,,,,,WOS:001367446100001,View Full Record in Web of Science
J,"Nguyen, TPT; Humphries, TD; Hagemann, H; Buckley, CE; Jensen, TR; Paskevicius, M",,,,"Nguyen, Thi Phuong Thao; Humphries, Terry D.; Hagemann, Hans; Buckley, Craig E.; Jensen, Torben R.; Paskevicius, Mark",,,Solubility of metal-boron-hydrogen compounds,DALTON TRANSACTIONS,,,,,,,,,,,,"Boron-hydrogen compounds are of increasing importance as electrolytes in solid state batteries, for hydrogen storage and possibly as high temperature super conductors. Solvent based methods are of increasing importance to obtain pure products, for purification of materials and also for the synthesis of novel compounds. In this context, the solubility information of several classes of metal-boron-hydrogen compounds such as borohydrides, closo-decahydridodecaborates, closo-dodecahydridododecaborates, arachno- and nido-hydridoborates in typical solvents is vital. This information is currently dispersed in the literature, hence the need to present a cohesive summary and comparison of these properties. This review collects, analyses and discusses the available data to provide inspiration for the future design of new synthesis routes and the discovery of novel materials.",,,,,"Buckley, Craig/B-6753-2013; Paskevicius, Mark/K-1638-2013; Humphries, Terry/A-2042-2014","Buckley, Craig/0000-0002-3075-1863; Paskevicius, Mark/0000-0003-2677-3434; Humphries, Terry/0000-0003-1015-4495; Jensen, Torben Rene/0000-0002-4278-3221",,,,,,,,,,,,,1477-9226,1477-9234,,,,JAN 13,2025,54,3,,,,,1199,1211,,10.1039/d4dt02256d,http://dx.doi.org/10.1039/d4dt02256d,,NOV 2024,,,,,,39611621,,,,,WOS:001367571400001,View Full Record in Web of Science
J,"Song, XM; Sun, JJ; Ren, W; Wang, L; Yang, BZ; Ning, HL; Zhang, PB; Caixiang, Z; Tie, ZX; Zhang, XJ; Nuli, Y; Jin, Z",,,,"Song, Xinmei; Sun, Jingjie; Ren, Wen; Wang, Lei; Yang, Binze; Ning, Hailong; Zhang, Pengbo; Caixiang, Zhuoma; Tie, Zuoxiu; Zhang, Xuejin; Nuli, Yanna; Jin, Zhong",,,Iodine Boosted Fluoro-Organic Borate Electrolytes Enabling Fluent Ion-Conductive Solid Electrolyte Interphase for High-Performance Magnesium Metal Batteries,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,,,,,,,,,,,,"Rechargeable magnesium batteries are regarded as a promising multi-valent battery system for low-cost and sustainable energy storage applications. Boron-based organic magnesium salts with terminal substituent fluorinated anions (Mg[B(ORF)4](2), R-F=fluorinated alkyl) have exhibited impressive electrochemical stability and oxidative stability. Nevertheless, their deployment is hindered by the complicated synthesis routes and the surface passivation of Mg metal anode. Herein, we report the design of an advanced electrolyte formulation comprised of tri(hexafluoroisopropyl) borate (B(HFIP)(3)) and iodine (I-2) in 1,2-dimethoxyethane (DME) solvent, which eventually convert into a Mg[B(HFIP)(4)](2)/DME-MgI2 electrolyte system upon interacting with Mg anode. The Mg anode reacts with I-2 and the electron-accepting B(HFIP)3, leading to the in situ formation of a solid-electrolyte interphase layer composed of MgF2 and MgI2 species that can facilitate fast and stable Mg plating/stripping. Compared with the pristine Mg[B(HFIP)4]2/DME electrolyte, the Mg[B(HFIP)(4)](2)/DME-MgI2 electrolyte exhibited superior electrochemical performance including an ultra-low overpotential (similar to 80 mV), high Coulombic efficiency and a long-cycling period over 1500 h. In result, the rechargeable magnesium batteries with Mg[B(HFIP)(4)](2)/DME-MgI2 electrolyte and Chevrel-phase Mo6S8 cathode show outstanding compatibility, rapid kinetics, and stable cyclability for over 1200 cycles, surpassing all previously reported boron-based electrolytes. This work introduces a promising halogen-enhancement strategy for boron-based Mg-ion electrolytes, with the overarching goal of establishing favorable solid-electrolyte interphases that are pivotal for the advancement and optimization of multi-valent secondary batteries.",,,,,"sun, jingjie/GWV-7925-2022; Zhang, Xuejin/LFR-8381-2024; Jin, Zhong/D-1742-2012; yang, binze/AAE-8591-2022","Ren, Wen/0000-0002-1461-6717; Jin, Zhong/0000-0001-8860-8579;",,,,,,,,,,,,,,1521-3773,,,,JAN 27,2025,64,5,,,,,,,e202417450,10.1002/anie.202417450,http://dx.doi.org/10.1002/anie.202417450,,NOV 2024,,,,,,39526316,,,,,WOS:001362190600001,View Full Record in Web of Science
J,"Du, K; Sun, C; Xuan, YM",,,,"Du, Kang; Sun, Chen; Xuan, Yimin",,,Functionalized fillers as ions relay stations enabling Li+ ordered transport in quasi-solid electrolytes for high-stability lithium metal batteries,JOURNAL OF ENERGY CHEMISTRY,,,,,,,,,,,,"Quasi-solid-state lithium-metal batteries (QSLMBs) are promising candidates for next-generation battery systems due to their high energy density and enhanced safety. However, their practical application has been hindered by low ionic conductivity and the growth of lithium dendrites. To achieve ordered transport of Li* ions in quasi-solid electrolytes (QSEs), improve ionic conductivity, and homogenize Li* fluxes on the surface of the lithium metal anode (LMA), we propose a novel method. This method involves constructing ion relay stations in QSEs by introducing cyano-functionalized boron nitride nanosheets into pentaerythritol tetraacrylate (PETEA)-based polymer electrolytes. The functionalized boron nitride nanosheets promote the dissociation of lithium salts through ion-dipole interactions, optimizing the solvated structure to facilitate the orderly transport of Li* ions, resulting in an ionic conductivity of 2.5 x 10 3 S cm 1 at 30 degrees C. Notably, this strategy regulates the Li* distribution on the surface of the LMA, effectively inhibiting the growth of lithium dendrites. Li||Li symmetrical cells using this type of electrolyte maintain stability for over 2000 h at 2 mA cm 2 and 2 mAh cm 2. Additionally, with a high LiNi0.8Co0.1Mn0.1O2 (NCM811) loading of 8.5 mg cm 2, the cells exhibit excellent cycling performance, retaining a high capacity after 400 cycles. This innovative QSE design strategy represents a significant advancement towards the development of high-performance QSLMBs. (c) 2024 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by Elsevier B.V. and Science Press. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",,,,,,,,,,,,,,,,,,,2095-4956,,,,,FEB,2025,102,,,,,,84,97,,10.1016/j.jechem.2024.09.069,http://dx.doi.org/10.1016/j.jechem.2024.09.069,,NOV 2024,,,,,,,,,,,WOS:001361917400001,View Full Record in Web of Science
J,"Zhao, LY; Dong, QY; Wang, YQ; Xue, GY; Wang, XC; Li, ZY; Shao, H; Chen, HW; Shen, YB; Chen, LW",,,,"Zhao, Liyi; Dong, Qingyu; Wang, Yueqi; Xue, Guoyong; Wang, Xuechun; Li, Zhiyun; Shao, Hui; Chen, Hongwei; Shen, Yanbin; Chen, Liwei",,,Anion Modulation: Enabling Highly Conductive Stable Polymer Electrolytes for Solid-State Li-Metal Batteries,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,,,,,,,,,,,,"Solid polymer electrolytes (SPEs) are promising ionic conductors for developing high-specific-energy solid-state lithium metal batteries. However, developing SPEs with both high ionic conductivity and interfacial compatibility remains a challenge. Here, we propose a design concept of an anion-modulated polymer electrolyte (termed AMPE) for high-voltage Li metal batteries. Specifically, we design the AMPE by incorporating high-voltage-resistant and high charge density units with an anion receptor unit. The high-voltage-resistant and high charge density segments contribute to achieving a decent voltage tolerance of the polymer chains and ensure sufficient carrier ions. The anion receptor, represented by a boron-containing molecule, promotes the generation of free Li+ by dissociating anion-cation pairs. More importantly, the strong interaction between the electron-deficient B and the TFSI- in the matrix promotes the anion reduction to form a stable anion-derived mosaic-like solid electrolyte interphase on the Li-metal anode. As a result, the AMPE exhibits a high ionic conductivity of 3.80x10-4 S cm-1 and effectively suppresses lithium dendrites, enabling an all-solid-state Li|AMPE|LiCoO2 cell to achieve a cycle life of 700 cycles at an operating voltage of 4.40 V. This design concept would inspire efforts to develop high-performance SPEs for high-specific-energy solid-state lithium metal batteries.",,,,,"Shao, Hui/AFL-7477-2022","Shao, Hui/0000-0003-2791-7217",,,,,,,,,,,,,1433-7851,1521-3773,,,,DEC 20,2024,63,52,,,,,,,,10.1002/anie.202412280,http://dx.doi.org/10.1002/anie.202412280,,NOV 2024,,,,,,39491025,,,,,WOS:001357989400001,View Full Record in Web of Science
J,"Yang, ZF; Li, WL; Zhang, JP",,,,"Yang, Zhifang; Li, Wenliang; Zhang, Jingping",,,First principles theoretical of designing sandwich-like metallic BP4 monolayer as anode for alkali metal-ion batteries,NANOTECHNOLOGY,,,,,,,,,,,,"Phosphorene has been widely used as anode material for batteries. However, the huge volume change during charging and discharging process, the semiconductor properties, and the high open circuit voltage limit its application. Based on this, by introducing the electron-deficient boron atoms into blue phosphorene, we proposed a P-rich sandwich-like BP4 monolayer by density functional theory calculation and particle swarm optimization. The BP4 monolayer shows good thermodynamic and dynamic stability, as well as chemical stability in O-2 atmosphere, mainly due to the strengthened P-P bond of the outer layer by the middle boron atoms adopting sp(3) hybridization. According to the band structure, the BP4 monolayer shows metallic property, which is beneficial to electron conductivity. Furthermore, compared with blue phosphorene and black phosphorene, the P-rich BP4 monolayer shows higher theoretical capacity for Li, Na, and K of 1193.90, 1119.28, and 397.97 mA h g(-1), respectively. The lattice constant of BP4 monolayer increases only 3.73% (Li), 2.52% (Na) after Li/Na fully adsorbed on the anode. More importantly, the wettability of BP4 monolayer in the electrolyte is comparable to that of graphene. These findings show that the stable sandwich-like BP4 monolayer has potential as a lightweight anode material.",,,,,"Zhang, Jingping/ABA-4179-2020; Zhang, Jingping/C-1312-2014; Yang, Zhifang/A-1690-2017; Li, Wenliang/F-2907-2014","Zhang, Jingping/0000-0001-8004-3673; Li, Wenliang/0000-0002-0864-0358",,,,,,,,,,,,,0957-4484,1361-6528,,,,NOV 18,2024,35,47,,,,,,,475403,10.1088/1361-6528/ad7145,http://dx.doi.org/10.1088/1361-6528/ad7145,,,,,,,,39163875,,,,,WOS:001304419200001,View Full Record in Web of Science
